sbjNo;sbjlevel;studyPrg;sbjName;elective;numCurr;numSchd;srvProvider;srvClient;sbjNotes;lecNo;lecName;lec1stn;lecRoom;lecNotes;isprof;lecDept;supervisor;term;cntLec;cntCurr;cntSchd;assNotes
1051001-SWB;1;SWB;Physik;P;3;4;G;IT;;0;Service G;;;;WAHR;G;;SS15;5;5;6;
1051001-SWB;1;SWB;Physik;P;3;4;G;IT;;0;Service G;;;;WAHR;G;;WS1415;5;5;6;
1051001-SWB;1;SWB;Physik;P;3;4;G;IT;;0;Service G;;;;WAHR;G;;WS1516;5;5;6;
1051002-SWB;1;SWB;Informationstechnik ;P;5;6;IT;IT;;86;Malz;Reinhard;F1.453;;WAHR;IT;;WS1516;4;4;4;
1051002-SWB;1;SWB;Informationstechnik ;P;5;6;IT;IT;;1119;Gro�;Hans-Gerhard;;;WAHR;IT;;SS15;4;4;4;
1051002-SWB;1;SWB;Informationstechnik ;P;5;6;IT;IT;;1119;Gro�;Hans-Gerhard;;;WAHR;IT;;WS1415;4;4;4;
1051002-WKB;1;WKB;Informationstechnik;P;3;4;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;SS15;4;4;4;
1051002-WKB;1;WKB;Informationstechnik;P;3;4;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1415;4;4;4;
1051002-WKB;1;WKB;Informationstechnik;P;3;4;IT;IT;;1105;Marchthaler;Reiner;;;WAHR;IT;;WS1516;4;4;4;
1051003-SWB;1;SWB;Mathematik 1," A;P;3;4;G;IT;;0;Service G;;;;WAHR;G;;SS15;5;5;6;"
1051003-SWB;1;SWB;Mathematik 1," A;P;3;4;G;IT;;0;Service G;;;;WAHR;G;;WS1516;5;5;6;"
1051003-SWB;1;SWB;Mathematik 1," A;P;3;4;IT;IT;;7;H�fer;Karlheinz;F1.452;;WAHR;IT;;WS1415;0;5;6;"
1051003-TIB;1;TIB;Mathematik 1," A;P;5;6;G;IT;;0;Service G;;;;WAHR;G;;SS15;5;5;6;"
1051003-TIB;1;TIB;Mathematik 1," A;P;5;6;G;IT;;0;Service G;;;;WAHR;G;;WS1415;5;5;6;"
