sbjNo;term;lecNo;shared_group_id;assNotes
1052003-SWB;WS1415;0;1052003|WS1415|+ 2 SWS Mathe-Zusatz�bungen;+ 2 SWS Mathe-Zusatz�bungen
1052006-SWB;WS1516;1070;1052006|WS1516|Gekoppelt mit TIB2;Gekoppelt mit TIB2
1052006-TIB;WS1516;1070;1052006|WS1516|Gekoppelt mit SWB2;Gekoppelt mit SWB2
1052013-TIB;WS1415;0;1052013|WS1415|+ 2 SWS Mathe-Zusatz�bungen;+ 2 SWS Mathe-Zusatz�bungen
1053008-SWB;WS1516;21;1053008|WS1516|gekoppelt mit WKB3;gekoppelt mit WKB3
1053008-TIB;WS1516;21;1053008|WS1516|SWB3+TIB3;SWB3+TIB3
1053010-SWB;WS1516;15;1053010|WS1516|zusammen mit WK4;zusammen mit WK4
1053010-WKB;WS1516;15;1053010|WS1516|gekoppelt SWB 3. Semester;gekoppelt SWB 3. Semester
1054007-SWB;WS1516;1053;1054007|WS1516|Gekoppelt mit TIB4;Gekoppelt mit TIB4
1054007-TIB;WS1516;1053;1054007|WS1516|Gekoppelt mit SWB4;Gekoppelt mit SWB4
1055001-SWB;WS1516;3;1055001|WS1516|WKB+TIB+SWB;WKB+TIB+SWB
1055001-SWB;WS1516;1023;1055001|WS1516|WKB+TIB+SWB;WKB+TIB+SWB
1055001-SWB;WS1516;1119;1055001|WS1516|WKB+TIB+SWB;WKB+TIB+SWB
1055001-TIB;WS1516;1023;1055001|WS1516|WKB+TIB+SWB;WKB+TIB+SWB
1055001-TIB;WS1516;1105;1055001|WS1516|WKB+TIB+SWB;WKB+TIB+SWB
1055001-WKB;WS1516;1023;1055001|WS1516|WKB+TIB+SWB;WKB+TIB+SWB
3SWB-919a;WS1516;1157;3SWB|WS1516|Bergmeir;Bergmeir
